0,20520
2,20079
4,19503
10,19467
11,19332
16,19251
18,19089
20,18792
23,18495
39,18189
40,18045
41,17505
49,17478
51,17469
52,16929
57,16704
58,16677
60,16551
62,16245
72,16236
73,15831
83,15291
84,15165
88,15156
92,15147
124,15030
125,14787
129,14670
130,14616
133,14364
139,14157
143,14013
151,13896
153,13698
162,13680
179,13626
180,13581
185,13428
189,13068
207,12978
211,12969
216,12771
219,12582
220,12465
223,12384
240,12375
251,12177
254,11889
285,11646
287,11610
291,11529
311,11385
317,11169
318,11043
320,10827
325,10683
353,10674
365,10512
367,10503
380,10485
392,10323
393,10107
409,10008
414,9990
446,9738
453,9720
456,9711
462,9441
475,9324
492,9099
494,9090
502,8946
504,8910
507,8892
508,8766
510,8712
527,8640
