15,7083
300,10278
383,9414
107,8910
370,10017
550,11304
1242,11169
217,9153
183,9288
100,8478
94,8730
508,11178
142,8829
343,10890
136,8514
142,9288
1619,12501
427,11124
412,9072
178,9648
178,8523
318,10602
551,9756
269,8775
549,11115
56,8352
877,10566
176,9567
351,9684
177,9306
189,9324
1173,12951
450,10071
586,10908
1535,11520
118,7794
603,11772
340,10107
386,10683
797,12402
186,10233
637,9693
137,9864
403,10629
755,10809
81,8028
1123,12546
229,9882
552,8928
381,10593
721,12078
493,10575
718,11898
141,8748
478,10827
183,8487
755,11682
169,8982
248,9036
474,10089
752,11115
433,10890
798,11718
260,9351
971,10701
390,9288
375,9315
660,10674
739,12744
96,8622
178,9549
251,9738
264,9234
219,9774
627,10611
95,8127
381,10386
183,9702
964,11052
639,11673
770,9981
277,11340
220,9279
426,10737
534,11691
247,9297
137,8199
358,9702
428,11583
223,8649
874,11232
547,10008
2968,14040
53,8748
2231,11682
838,9621
176,8415
670,11430
316,9054
383,10539
425,9594
668,12078
948,12042
794,12006
1009,12897
471,10539
670,10836
95,8262
590,10872
2062,11871
629,11241
754,10674
185,9099
1126,10710
955,13698
309,9585
2483,13158
494,10683
180,10089
177,8874
971,10620
135,8721
69,8127
135,8559
300,8361
668,11034
249,9018
1496,13671
1214,11619
1366,13473
914,12114
517,11088
2310,13005
280,9594
345,9990
218,10215
555,10170
299,9990
102,8802
501,9828
1370,11664
263,8487
678,11727
140,9054
98,8019
751,11475
177,8343
181,10152
340,9846
422,10503
305,10485
876,11016
359,10773
168,9405
262,10413
423,9621
1468,12717
471,9306
65,8334
590,12033
799,10701
181,9405
209,10458
307,10107
384,10080
589,10008
58,7677
798,11529
225,9747
422,9594
538,11808
68,8604
340,10584
493,10215
58,7443
1821,12663
360,9918
140,7839
329,10710
390,10332
2186,13509
314,10953
1396,13725
59,8037
548,10332
180,9828
402,10179
184,9000
141,9315
431,10935
108,8262
3506,14139
588,11070
71,8226
1700,12483
224,9702
305,9594
221,8964
632,10863
546,11484
259,9225
349,10890
423,12015
230,10404
331,10386
218,8721
739,12141
479,9882
189,9945
1289,12699
218,9549
178,9306
219,8523
915,10071
343,9639
587,10539
182,9594
361,10665
387,10773
933,12222
206,9324
847,11511
616,10530
534,11529
141,9378
413,11070
190,9846
141,9549
711,11493
671,11196
176,8487
535,10953
873,11736
218,9567
593,11367
135,9198
1285,13419
657,11601
474,10341
381,10521
1369,11331
546,11034
253,9576
105,8055
389,10053
184,9261
259,9540
217,10017
259,9261
103,8919
1939,11943
672,11169
1079,11052
469,9369
504,10035
300,9756
1166,11484
97,8253
143,8478
763,11223
103,8091
2276,12474
629,10152
884,11628
712,11709
273,9711
253,8892
262,10611
475,10962
751,13347
794,12654
1067,13212
213,9909
304,10674
876,10782
752,12024
923,11745
552,10899
217,10881
545,10737
437,9702
1219,13104
391,9756
159,8793
286,11124
95,7902
1533,13239
751,11475
1328,11637
426,10017
260,10719
146,9243
218,9891
635,10917
344,10080
423,11196
429,12285
299,9693
139,8757
628,12852
233,9342
515,10098
1002,12501
355,10782
265,10782
426,9414
752,11538
506,11673
944,11439
117,8046
1204,13005
709,11340
141,9000
1407,13500
724,10035
850,11448
342,10044
276,10188
267,9891
99,8730
111,7794
710,11313
2640,12987
1223,11907
56,8253
632,10521
1248,12321
1437,11079
1864,12717
144,9252
103,8667
105,8883
1071,12573
463,10773
510,11196
717,10890
836,10332
1448,11934
220,9414
593,10323
66,8163
179,9225
713,11979
1200,12123
1161,12276
144,8793
137,8847
219,8847
1664,12285
426,10665
358,10692
305,10089
1004,10827
1121,12015
1203,12042
94,8352
387,10215
422,11385
1132,12933
389,11376
259,9063
508,12564
341,9954
154,8181
220,9477
422,10233
385,10269
263,8982
304,9252
259,10152
217,10341
512,10359
343,9234
178,9558
629,10440
106,8469
466,11628
441,10512
95,8613
426,9873
300,9954
302,10269
1518,11781
427,9162
602,10800
102,7893
59,7812
423,10602
1041,12528
382,9837
96,8433
1244,11664
1366,12663
136,7929
494,9477
730,11232
840,11502
381,9612
350,9594
329,10575
288,11016
465,11277
596,11646
223,9135
266,10089
505,11745
956,10998
397,10278
263,9990
324,9657
342,10926
636,10215
1096,11538
1451,11943
217,8514
657,11916
350,10134
342,10899
547,11124
301,9828
1288,12771
634,10737
146,8613
507,11421
79,7992
424,11385
710,12042
341,8460
1284,13419
302,9441
342,8964
104,8271
238,9675
575,11817
962,11403
57,7497
475,11142
98,8154
381,9504
179,9810
545,9630
860,11124
465,10287
209,8541
55,7749
428,10755
2504,12681
319,11034
1503,12510
1043,11556
480,12051
57,8343
185,8730
454,9999
102,8163
956,12222
919,11619
217,9153
242,8397
143,8937
301,9468
427,10440
110,8982
960,10224
393,9720
426,10512
1162,11781
795,10962
178,9072
1053,11655
473,11970
721,11709
914,10692
176,8667
66,8838
1780,11223
369,11439
94,8766
165,8730
187,10080
594,9603
624,11196
942,10035
99,9468
739,11079
261,9900
188,8577
1285,11916
600,11439
221,9945
468,10341
340,9621
391,10314
1115,11538
784,11952
258,10953
698,10089
752,11799
219,8514
259,10206
756,11205
